"Site","Year","Species","Tree","Sample","DY","RF","CZ","EZ","WZ","MZ","PR"
"ABI",2023,"PISY","3",1,114,"2",7,0,0,0,51
"ABI",2023,"PISY","3",1,114,"3",8,0,0,0,53
"ABI",2023,"PISY","3",2,131,"1",8,0,0,0,66
"ABI",2023,"PISY","3",2,131,"2",8,0,0,0,68
"ABI",2023,"PISY","3",2,131,"3",8,1,0,0,63
"ABI",2023,"PISY","3",3,145,"1",16,2,0,0,64
"ABI",2023,"PISY","3",3,145,"2",13,2,0,0,64
"ABI",2023,"PISY","3",3,145,"3",16,3,0,0,64
"ABI",2023,"PISY","3",4,152,"1",14,5,0,0,70
"ABI",2023,"PISY","3",4,152,"2",15,5,0,0,72
"ABI",2023,"PISY","3",4,152,"3",17,2,0,0,73
"ABI",2023,"PISY","3",5,159,"1",17,8,0,0,76
"ABI",2023,"PISY","3",5,159,"2",17,10,0,0,79
"ABI",2023,"PISY","3",5,159,"3",16,7,0,0,72
"ABI",2023,"PISY","3",6,166,"1",17,13,2,0,73
"ABI",2023,"PISY","3",6,166,"2",17,12,2,0,70
"ABI",2023,"PISY","3",6,166,"3",15,17,2,0,65
"ABI",2023,"PISY","3",7,173,"1",11,10,10,0,60
"ABI",2023,"PISY","3",7,173,"2",14,9,12,0,60
"ABI",2023,"PISY","3",7,173,"3",15,10,10,0,62
"ABI",2023,"PISY","3",8,181,"1",12,13,19,3,49
"ABI",2023,"PISY","3",8,181,"2",14,12,21,4,51
"ABI",2023,"PISY","3",8,181,"3",12,10,22,2,48
"ABI",2023,"PISY","3",9,195,"1",13,5,15,23,59
"ABI",2023,"PISY","3",9,195,"2",13,6,22,17,61
"ABI",2023,"PISY","3",9,195,"3",12,5,22,22,55
"ABI",2023,"PISY","3",10,208,"1",9,6,15,33,69
"ABI",2023,"PISY","3",10,208,"2",12,7,15,35,69
"ABI",2023,"PISY","3",10,208,"3",8,8,17,30,70
"ABI",2023,"PISY","3",12,236,"1",7,1,11,35,62
"ABI",2023,"PISY","3",12,236,"2",7,0,8,38,59
"ABI",2023,"PISY","3",12,236,"3",7,0,9,39,57
"ABI",2023,"PISY","3",13,250,"1",7,0,4,48,58
"ABI",2023,"PISY","3",13,250,"2",7,0,3,49,60
"ABI",2023,"PISY","3",13,250,"3",7,0,4,47,55
"ABI",2023,"PISY","3",14,293,"1",9,0,0,58,46
"ABI",2023,"PISY","3",14,293,"2",8,0,0,56,49
"ABI",2023,"PISY","3",14,293,"3",8,0,5,50,43
"ABI",2023,"PISY","4",1,114,"1",7,0,0,0,30
"ABI",2023,"PISY","4",1,114,"2",7,0,0,0,35
"ABI",2023,"PISY","4",1,114,"3",8,0,0,0,34
"ABI",2023,"PISY","4",2,131,"1",7,0,0,0,31
"ABI",2023,"PISY","4",2,131,"2",7,0,0,0,27
"ABI",2023,"PISY","4",2,131,"3",7,1,0,0,27
"ABI",2023,"PISY","4",3,145,"1",10,0,0,0,28
"ABI",2023,"PISY","4",3,145,"2",11,0,0,0,25
"ABI",2023,"PISY","4",3,145,"3",11,0,0,0,27
"ABI",2023,"PISY","4",4,152,"1",10,0,0,0,27
"ABI",2023,"PISY","4",4,152,"2",10,0,0,0,28
"ABI",2023,"PISY","4",4,152,"3",10,0,0,0,28
"ABI",2023,"PISY","4",5,159,"1",15,0,0,0,33
"ABI",2023,"PISY","4",5,159,"2",13,0,0,0,33
"ABI",2023,"PISY","4",5,159,"3",12,1,0,0,33
"ABI",2023,"PISY","4",6,166,"1",15,2,0,0,24
"ABI",2023,"PISY","4",6,166,"2",11,4,0,0,29
"ABI",2023,"PISY","4",6,166,"3",12,3,0,0,23
"ABI",2023,"PISY","4",7,173,"1",12,3,4,0,29
"ABI",2023,"PISY","4",7,173,"2",13,3,2,0,30
"ABI",2023,"PISY","4",7,173,"3",14,2,3,0,26
"ABI",2023,"PISY","4",8,181,"1",12,5,9,0,32
"ABI",2023,"PISY","4",8,181,"2",11,4,9,0,27
"ABI",2023,"PISY","4",8,181,"3",13,3,10,0,31
"ABI",2023,"PISY","4",9,195,"1",8,4,7,0,32
"ABI",2023,"PISY","4",9,195,"2",7,4,7,0,32
"ABI",2023,"PISY","4",9,195,"3",9,7,5,0,35
"ABI",2023,"PISY","4",10,208,"1",8,1,8,29,36
"ABI",2023,"PISY","4",10,208,"2",11,1,12,22,36
"ABI",2023,"PISY","4",10,208,"3",10,1,14,23,32
"ABI",2023,"PISY","4",11,223,"1",7,1,13,20,32
"ABI",2023,"PISY","4",11,223,"2",7,1,16,19,36
"ABI",2023,"PISY","4",11,223,"3",7,1,20,22,39
"ABI",2023,"PISY","4",12,236,"1",7,1,6,26,31
"ABI",2023,"PISY","4",12,236,"2",7,1,5,26,31
"ABI",2023,"PISY","4",12,236,"3",7,1,2,30,32
"ABI",2023,"PISY","4",13,250,"1",6,0,0,24,32
"ABI",2023,"PISY","4",13,250,"2",6,0,0,29,29
"ABI",2023,"PISY","4",13,250,"3",6,0,1,24,31
"ABI",2023,"PISY","4",14,293,"1",7,0,0,35,30
"ABI",2023,"PISY","4",14,293,"2",6,0,0,35,34
"ABI",2023,"PISY","4",14,293,"3",7,0,0,35,30
"ABI",2023,"PISY","5",1,114,"1",6,0,0,0,19
"ABI",2023,"PISY","5",1,114,"2",7,0,0,0,19
"ABI",2023,"PISY","5",1,114,"3",6,0,0,0,20
"ABI",2023,"PISY","5",2,131,"1",6,0,0,0,18
"ABI",2023,"PISY","5",2,131,"2",6,0,0,0,21
"ABI",2023,"PISY","5",2,131,"3",6,0,0,0,19
"ABI",2023,"PISY","5",3,145,"1",9,1,0,0,18
"ABI",2023,"PISY","5",3,145,"2",11,0,0,0,21
"ABI",2023,"PISY","5",3,145,"3",10,1,0,0,18
"ABI",2023,"PISY","5",4,152,"1",11,0,0,0,20
"ABI",2023,"PISY","5",4,152,"2",9,1,0,0,23
"ABI",2023,"PISY","5",4,152,"3",12,0,0,0,22
"ABI",2023,"PISY","5",5,159,"1",9,3,0,0,23
"ABI",2023,"PISY","5",5,159,"2",11,1,0,0,22
"ABI",2023,"PISY","5",5,159,"3",11,1,0,0,21
"ABI",2023,"PISY","5",6,166,"1",11,6,0,0,23
"ABI",2023,"PISY","5",6,166,"2",10,4,0,0,21
"ABI",2023,"PISY","5",6,166,"3",10,6,0,0,20
"ABI",2023,"PISY","5",7,173,"1",10,7,3,0,21
"ABI",2023,"PISY","5",7,173,"2",9,7,5,0,22
"ABI",2023,"PISY","5",7,173,"3",10,6,3,0,24
"ABI",2023,"PISY","5",8,181,"1",13,3,7,0,21
"ABI",2023,"PISY","5",8,181,"2",13,7,4,0,23
"ABI",2023,"PISY","5",8,181,"3",14,3,6,0,24
"ABI",2023,"PISY","5",9,195,"1",12,6,19,5,21
"ABI",2023,"PISY","5",9,195,"2",12,6,18,8,24
"ABI",2023,"PISY","5",9,195,"3",13,5,17,6,22
"ABI",2023,"PISY","5",10,208,"1",8,4,12,11,19
"ABI",2023,"PISY","5",10,208,"2",10,4,17,9,21
"ABI",2023,"PISY","5",10,208,"3",9,4,16,11,18
"ABI",2023,"PISY","5",11,223,"1",9,2,17,13,21
"ABI",2023,"PISY","5",11,223,"2",9,3,20,13,24
"ABI",2023,"PISY","5",11,223,"3",10,3,20,13,24
"ABI",2023,"PISY","5",12,236,"1",6,0,9,29,23
"ABI",2023,"PISY","5",12,236,"2",6,1,10,NA,24
"ABI",2023,"PISY","5",12,236,"3",8,0,10,NA,25
"ABI",2023,"PISY","5",13,250,"1",7,0,0,25,22
"ABI",2023,"PISY","5",13,250,"2",8,0,0,25,20
"ABI",2023,"PISY","5",13,250,"3",6,0,0,22,19
"ABI",2023,"PISY","5",14,293,"1",8,0,0,23,23
"ABI",2023,"PISY","5",14,293,"2",7,0,0,28,27
"ABI",2023,"PISY","5",14,293,"3",7,0,0,28,25
"ABI",2023,"PISY","6",1,114,"1",7,0,0,0,48
"ABI",2023,"PISY","6",1,114,"2",7,0,0,0,51
"ABI",2023,"PISY","6",1,114,"3",8,0,0,0,53
"ABI",2023,"PISY","6",2,131,"1",7,0,0,0,49
"ABI",2023,"PISY","6",2,131,"2",8,0,0,0,50
"ABI",2023,"PISY","6",2,131,"3",7,0,0,0,53
"ABI",2023,"PISY","6",3,145,"1",10,4,0,0,40
"ABI",2023,"PISY","6",3,145,"2",14,3,0,0,41
"ABI",2023,"PISY","6",3,145,"3",14,3,0,0,38
"ABI",2023,"PISY","6",4,152,"1",14,3,0,0,44
"ABI",2023,"PISY","6",4,152,"2",10,4,0,0,46
"ABI",2023,"PISY","6",4,152,"3",10,4,0,0,47
"ABI",2023,"PISY","6",5,159,"1",12,7,0,0,45
"ABI",2023,"PISY","6",5,159,"2",10,8,0,0,48
"ABI",2023,"PISY","6",5,159,"3",17,5,0,0,50
"ABI",2023,"PISY","6",6,166,"1",14,6,3,0,39
"ABI",2023,"PISY","6",6,166,"2",11,6,2,0,43
"ABI",2023,"PISY","6",6,166,"3",11,5,4,0,46
"ABI",2023,"PISY","6",7,173,"1",9,8,12,1,39
"ABI",2023,"PISY","6",7,173,"2",10,6,13,1,46
"ABI",2023,"PISY","6",7,173,"3",11,4,13,2,41
"ABI",2023,"PISY","6",8,181,"1",9,8,11,9,49
"ABI",2023,"PISY","6",8,181,"2",9,5,16,10,45
"ABI",2023,"PISY","6",8,181,"3",9,2,15,10,50
"ABI",2023,"PISY","6",9,195,"1",10,3,16,24,51
"ABI",2023,"PISY","6",9,195,"2",9,4,16,27,53
"ABI",2023,"PISY","6",9,195,"3",10,4,20,29,48
"ABI",2023,"PISY","6",10,208,"1",6,1,14,22,48
"ABI",2023,"PISY","6",10,208,"2",6,1,12,22,50
"ABI",2023,"PISY","6",10,208,"3",7,1,14,25,44
"ABI",2023,"PISY","6",11,223,"1",5,1,11,38,54
"ABI",2023,"PISY","6",11,223,"2",8,0,11,41,52
"ABI",2023,"PISY","6",11,223,"3",6,0,12,35,53
"ABI",2023,"PISY","6",12,236,"1",6,1,7,45,55
"ABI",2023,"PISY","6",12,236,"2",6,2,4,46,55
"ABI",2023,"PISY","6",12,236,"3",6,1,3,50,53
"ABI",2023,"PISY","6",13,250,"1",8,0,0,50,44
"ABI",2023,"PISY","6",13,250,"2",7,0,0,57,48
"ABI",2023,"PISY","6",13,250,"3",6,0,0,55,50
"ABI",2023,"PISY","6",14,293,"1",7,0,0,50,48
"ABI",2023,"PISY","6",14,293,"2",8,0,0,48,45
"ABI",2023,"PISY","6",14,293,"3",7,0,0,49,42
"ABI",2023,"PISY","7",1,114,"1",5,0,0,0,48
"ABI",2023,"PISY","7",1,114,"2",6,0,0,0,53
"ABI",2023,"PISY","7",1,114,"3",6,0,0,0,54
"ABI",2023,"PISY","7",2,131,"1",6,0,0,0,48
"ABI",2023,"PISY","7",2,131,"2",6,0,0,0,51
"ABI",2023,"PISY","7",2,131,"3",6,0,0,0,49
"ABI",2023,"PISY","7",3,145,"1",13,2,0,0,60
"ABI",2023,"PISY","7",3,145,"2",13,1,0,0,59
"ABI",2023,"PISY","7",3,145,"3",13,2,0,0,59
"ABI",2023,"PISY","7",4,152,"1",8,2,0,0,20
"ABI",2023,"PISY","7",4,152,"2",10,2,0,0,23
"ABI",2023,"PISY","7",4,152,"3",11,3,0,0,20
"ABI",2023,"PISY","7",5,159,"1",12,6,0,0,53
"ABI",2023,"PISY","7",5,159,"2",16,4,0,0,61
"ABI",2023,"PISY","7",5,159,"3",11,8,0,0,59
"ABI",2023,"PISY","7",6,166,"1",16,13,3,0,57
"ABI",2023,"PISY","7",6,166,"2",15,11,5,0,62
"ABI",2023,"PISY","7",6,166,"3",11,17,2,0,58
"ABI",2023,"PISY","7",7,173,"1",11,7,15,0,56
"ABI",2023,"PISY","7",7,173,"2",11,10,12,0,63
